Extractor,k,Top-1 (%),P (%),mAP (%),Tiempo (ms),timestamp
Extractor 2 (SIFT),3,56.0,54.67,49.56,301.6,2025-12-12T13:20:46.954406
Extractor 3 (VGG16),3,96.0,95.33,94.67,1954.0,2025-12-12T13:22:56.219456
Extractor 1 (Histograma),3,46.0,46.0,40.56,3.6,2025-12-12T13:31:39.995935
Extractor 1 (Histograma),7,46.0,43.71,33.44,3.3,2025-12-12T13:38:21.710563
Extractor 1 (Histograma),5,46.0,45.6,36.47,1.8,2025-12-13T13:50:53.553032
Extractor 2 (SIFT),5,56.0,52.0,45.71,198.9,2025-12-13T13:51:36.234160
Extractor 3 (VGG16),5,96.0,94.4,93.28,2022.0,2025-12-13T13:55:18.749134
Extractor 4 (ResNet50),5,96.0,97.6,95.99,1175.3,2025-12-13T13:57:23.266585
Extractor 5 (CLIP ViT-B/32),5,98.0,97.6,97.01,5532.1,2025-12-13T14:08:15.865672
